[2023-09-15 19:19:31,366][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 19:19:31,367][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 19:19:31,367][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 19:19:31,368][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 19:19:31,369][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 19:19:31,370][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 19:19:46,841][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 19:19:46,864][hydra.utils][INFO] - Starting training!
[2023-09-15 19:26:09,001][hydra.utils][INFO] - Starting testing!
[2023-09-15 19:27:33,475][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 19:27:39,124][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 19:32:41,310][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 19:32:52,060][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 19:32:52,061][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 19:32:52,061][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 19:32:52,062][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 19:32:52,063][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 19:32:52,064][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 19:32:58,039][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 19:32:58,066][hydra.utils][INFO] - Starting training!
[2023-09-15 19:41:12,368][hydra.utils][INFO] - Starting testing!
[2023-09-15 19:44:36,511][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 19:49:55,440][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 19:50:06,372][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 19:50:06,373][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 19:50:06,373][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 19:50:06,374][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 19:50:06,375][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 19:50:06,376][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 19:50:18,458][hydra.utils][INFO] - found checkpoint: /home/ahmed/hydra/singlerun/2023-09-15/2d/epoch=14-step=224.ckpt
[2023-09-15 19:50:18,459][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 19:50:18,486][hydra.utils][INFO] - Starting training!
[2023-09-15 19:58:27,772][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 20:03:32,469][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 20:03:43,526][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 20:03:43,527][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 20:03:43,527][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 20:03:43,528][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 20:03:43,530][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 20:03:43,530][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 20:03:54,305][hydra.utils][INFO] - found checkpoint: /home/ahmed/hydra/singlerun/2023-09-15/2d/epoch=14-step=224.ckpt
[2023-09-15 20:03:54,305][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 20:03:54,331][hydra.utils][INFO] - Starting training!
[2023-09-15 20:43:49,549][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 20:47:58,393][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 20:48:09,474][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 20:48:09,475][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 20:48:09,475][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 20:48:09,476][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 20:48:09,478][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 20:48:09,478][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 20:48:16,769][hydra.utils][INFO] - found checkpoint: /home/ahmed/hydra/singlerun/2023-09-15/2d/epoch=274-step=2304.ckpt
[2023-09-15 20:48:16,769][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 20:48:16,794][hydra.utils][INFO] - Starting training!
[2023-09-15 22:17:23,693][hydra.utils][INFO] - Starting testing!
